2026-03-19 06:05:30: time=2026-03-19T06:05:30.759Z level=INFO msg="Context done" subscriberId=27
2026-03-19 07:28:58: time=2026-03-19T07:28:58.946Z level=INFO msg="New subscriber" subscriberId=28
2026-03-19 07:30:59: time=2026-03-19T07:30:59.012Z level=INFO msg="Context done" subscriberId=28
2026-03-19 08:45:53: time=2026-03-19T08:45:53.111Z level=INFO msg="New subscriber" subscriberId=29
2026-03-19 08:50:31: time=2026-03-19T08:50:31.335Z level=INFO msg="Context done" subscriberId=29
2026-03-19 08:50:32: time=2026-03-19T08:50:32.343Z level=INFO msg="New subscriber" subscriberId=30
2026-03-19 08:55:31: time=2026-03-19T08:55:31.335Z level=INFO msg="Context done" subscriberId=30
2026-03-19 08:55:32: time=2026-03-19T08:55:32.341Z level=INFO msg="New subscriber" subscriberId=31
2026-03-19 08:59:54: time=2026-03-19T08:59:54.604Z level=INFO msg="Context done" subscriberId=31
2026-03-20 07:28:50: time=2026-03-20T07:28:50.937Z level=INFO msg="Closing process"
2026-03-20 07:28:51: time=2026-03-20T07:28:51.328Z level=INFO msg="Cleaned up temporary directory" tempDir=/tmp/agentapi-uploads-210759697
