2026-03-26 13:00:46: time=2026-03-26T13:00:46.062Z level=INFO msg="Context done" subscriberId=27
2026-03-26 13:00:47: time=2026-03-26T13:00:47.071Z level=INFO msg="New subscriber" subscriberId=28
2026-03-26 13:05:18: time=2026-03-26T13:05:18.477Z level=INFO msg="Context done" subscriberId=28
2026-03-26 15:54:43: time=2026-03-26T15:54:43.170Z level=INFO msg="New subscriber" subscriberId=29
2026-03-26 15:55:43: time=2026-03-26T15:55:43.247Z level=INFO msg="Context done" subscriberId=29
2026-03-26 19:01:20: time=2026-03-26T19:01:20.423Z level=INFO msg="New subscriber" subscriberId=30
2026-03-26 19:02:20: time=2026-03-26T19:02:20.497Z level=INFO msg="Context done" subscriberId=30
2026-03-26 20:41:29: time=2026-03-26T20:41:29.216Z level=INFO msg="New subscriber" subscriberId=31
2026-03-26 20:41:59: time=2026-03-26T20:41:59.290Z level=INFO msg="Context done" subscriberId=31
2026-03-26 23:20:05: time=2026-03-26T23:20:05.196Z level=INFO msg="New subscriber" subscriberId=32
2026-03-26 23:21:05: time=2026-03-26T23:21:05.267Z level=INFO msg="Context done" subscriberId=32
2026-03-27 00:43:26: time=2026-03-27T00:43:26.197Z level=INFO msg="New subscriber" subscriberId=33
2026-03-27 00:44:26: time=2026-03-27T00:44:26.275Z level=INFO msg="Context done" subscriberId=33
2026-03-27 01:38:58: time=2026-03-27T01:38:58.212Z level=INFO msg="New subscriber" subscriberId=34
2026-03-27 02:12:15: time=2026-03-27T02:12:15.945Z level=INFO msg="Context done" subscriberId=34
2026-03-27 02:12:19: time=2026-03-27T02:12:19.184Z level=INFO msg="New subscriber" subscriberId=35
2026-03-27 02:27:56: time=2026-03-27T02:27:56.560Z level=INFO msg="New subscriber" subscriberId=36
2026-03-27 02:27:57: time=2026-03-27T02:27:57.375Z level=INFO msg="Context done" subscriberId=35
2026-03-27 02:28:56: time=2026-03-27T02:28:56.833Z level=INFO msg="Closing process"
2026-03-27 02:28:56: time=2026-03-27T02:28:56.996Z level=INFO msg="Cleaned up temporary directory" tempDir=/tmp/agentapi-uploads-1641616680
